[root@ip-10-0-4-142 ec2-user]# netstat -a --numeric-ports
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State
tcp        0      0 *:22                        *:*                         LISTEN
tcp        0      0 localhost:25                *:*                         LISTEN
tcp        0      0 *:48454                     *:*                         LISTEN
tcp        0      0 *:111                       *:*                         LISTEN
tcp        0      0 ip-10-0-4-142.us-west-1.:22 ip-172-31-100-46.us-w:41984 ESTABLISHED
tcp        0      0 ip-10-0-4-142.us-west-1.:22 ip-172-31-100-46.us-w:41974 ESTABLISHED
tcp        0      0 ip-10-0-4-142.us-west-1.:22 ip-10-31-122-133.us-w:55511 ESTABLISHED
tcp        0    124 ip-10-0-4-142.us-west-1.:22 ip-172-31-100-46.us-w:41990 ESTABLISHED
tcp        0      0 *:22                        *:*                         LISTEN
tcp        0      0 *:9080                      *:*                         LISTEN
tcp        0      0 *:45893                     *:*                         LISTEN
tcp        0      0 *:111                       *:*                         LISTEN
tcp        0      0 localhost:8081              *:*                         LISTEN
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:17418 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:45476 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23210 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23694 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:28588 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:25138 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23204 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:4928 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:55146 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:2516 ESTABLISHED
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25858 ESTABLISHED
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:34336 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:25458 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:38008 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:40530 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:59002 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:36432 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:4974 ESTABLISHED
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:64466 CLOSE_WAIT
tcp     1084      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25996 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23176 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:33912 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24834 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23990 CLOSE_WAIT
tcp      983      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1920 CLOSE_WAIT
tcp      980      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1750 CLOSE_WAIT
tcp     1039      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1976 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:18264 CLOSE_WAIT
tcp     1129      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26030 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23400 CLOSE_WAIT
tcp     1030      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26018 CLOSE_WAIT
tcp      968      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26090 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:8888 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:60506 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:41020 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:25246 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:25144 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1904 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:20624 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:21192 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:63580 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:52360 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:25538 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:47076 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26744 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:24568 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:32874 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:57692 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:60970 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:51904 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:9222 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:62876 ESTABLISHED
